,BA9_CT,BA9_AD,ROSMAP_CT,ROSMAP_hAD,SEAAD_lAD,SEAAD_hAD,SEAAD_DL_lAD,SEAAD_DL_hAD
NEDD8,0,0,0,0,1,0,0,0
PHYHIP,1,0,1,1,0,0,1,0
NDUFB2,0,0,0,0,1,0,0,0
ATP6V0B,0,0,0,1,1,0,0,0
ARPP19,1,0,1,0,0,1,1,1
NAP1L2,1,1,0,1,1,0,0,0
RPP38,0,0,0,0,0,0,0,1
TXNRD1,1,1,1,1,0,0,0,0
OAZ1,0,0,0,0,1,1,1,1
UBA52,0,0,0,0,1,0,0,0
GNB1,0,1,0,0,0,0,0,0
TMEM59,0,0,1,0,0,0,0,0
DCLRE1C,0,0,0,0,0,0,0,1
NLRP1,1,1,1,1,0,0,0,0
VDAC1,0,0,0,0,1,0,0,0
EPM2AIP1,1,0,1,0,0,0,0,0
NDUFS5,0,1,0,0,1,0,1,1
RPL22,0,0,0,0,1,0,0,1
CTNNB1,0,0,1,0,0,0,0,0
PIGC,0,0,0,0,0,0,0,1
TUBB4B,0,1,0,0,1,0,1,0
TCP1,0,0,0,0,1,0,0,0
TSPYL1,1,1,1,1,1,0,0,0
STMN2,1,1,1,0,0,0,0,0
PNMA2,1,1,1,0,1,1,1,0
TSPAN7,1,1,1,1,0,0,0,0
BASP1,1,1,0,0,0,0,1,0
CCK,1,0,1,0,1,1,1,1
TUBB3,0,0,0,0,1,0,1,0
